work	source	n_chunks	ling_est	nb	na	post_median	crI_lo95	crI_hi95	title
SA_GK16_ujjvni_u	anchor	52	1093	1500.0	1560.0	1525	1475	1574	Ujjvalanīlamaṇi
SA_GK19_ruphamdu	anchor	6	1020	1500.0	1560.0	1526	1478	1575	Haṃsadūta
SA_GK19_padyavlu	anchor	21	1164	1500.0	1560.0	1526	1477	1574	Padyāvalī
SA_MB_saivasiddhantaparibhasamanjariHK	anchor	24	1002	1500.0	1565.0	1529	1479	1575	vedajñāna: śaivasiddhāntaparibhāṣāmañjarī
SA_MB_cinmantramaliniHK	anchor	2	979	1500.0	1575.0	1534	1486	1584	prakāśānanda: cinmantramālinī
SA_GR14_ruphbr_u	anchor	71	1114	1530.0	1555.0	1537	1488	1586	Haribhaktirasāmṛtasindhu
SA_GR14_hbhvil_u	anchor	120	959	1530.0	1560.0	1538	1491	1586	Haribhaktivilāsa 1–11
SA_MB_saaktaanandataramginiiHK	anchor	52	850	1500.0	1599.0	1540	1481	1599	brahmānandagiri: śāktānandataraṅgiṇī
SA_MB_diiksaadarsaHK	anchor	89	901	1500.0	1599.0	1540	1482	1599	vedajñāna: dīkṣādarśa
SA_MB_vaarunapaddhatiHK	anchor	83	900	1500.0	1600.0	1541	1481	1598	varuṇaśivācārya: vāruṇapaddhati
SA_GR14_caitcanu	anchor	6	1140	1510.0	1580.0	1541	1492	1591	Caitanyacandrāmṛta
SA_MB_saivaparibhasaHK	anchor	40	1208	1500.0	1599.0	1544	1485	1602	śivāgrayogin: śaivasiddhāntaparibhāṣā
SA_GR14_muktacau	anchor	27	787	1520.0	1586.0	1545	1497	1597	Muktācarita
SA_GK19_gp12-22u	anchor	46	792	1513.0	1598.0	1547	1499	1597	Gopālacampū: Pūrvacampū, 12-22
SA_GK19_gp01-11u	anchor	49	762	1513.0	1598.0	1547	1498	1599	Gopālacampū: Pūrvacampū, 1-11
SA_GK19_gp23-33u	anchor	43	774	1513.0	1598.0	1549	1497	1597	Gopālacampū: Pūrvacampū, 23-33
SA_GSP33_madhsiddhb_u	anchor	10	1183	1490.0	1632.0	1549	1465	1633	Siddhāntabindu
SA_GK16_rnatc__u	anchor	22	1047	1530.0	1580.0	1550	1502	1598	Nāṭakacandrikā
SA_MB_sivaarcanacandrikaaHK	anchor	38	964	1520.0	1593.0	1550	1503	1600	appayadīkṣita: śivārcanacandrikā
SA_GR14_laghbh_u	anchor	24	1129	1530.0	1580.0	1551	1501	1602	Laghubhāgavatāmṛta
SA_GK19_appvairu	anchor	2	845	1520.0	1593.0	1553	1504	1603	Vairāgyaśataka
SA_MB_tararahasyaHK	anchor	22	788	1575.0	1625.0	1558	1484	1613	brahmānanda: tārārahasya
SA_GR14_ss5_bhku	anchor	94	1217	1550.0	1575.0	1558	1508	1604	Ṣaṭsandarbha: 5. Bhaktisandarbha
SA_GR14_ss6_priu	anchor	94	1249	1550.0	1575.0	1559	1510	1608	Ṣaṭsandarbha: 6. Prītisandarbha
SA_GK19_anvallcu	anchor	21	728	1500.0	1699.0	1559	1443	1674	Vallālacarita
SA_GS40_bhavpr_u	anchor	9	657	1500.0	1699.0	1561	1444	1677	Bhāvaprakāśa
SA_GS40_yrasprpu	anchor	27	904	1500.0	1699.0	1561	1444	1683	Rasaprakāśasudhākara
SA_GR14_jivrkadu	anchor	9	1208	1540.0	1598.0	1565	1516	1615	Rādhākṛṣṇārcanadīpikā
SA_GSD36_mvir_sau	anchor	99	1030	1500.0	1699.0	1566	1453	1678	Vīramitrodaya: Samayaprakāśa
SA_GR14_ss1_tatu	anchor	25	1232	1540.0	1600.0	1566	1518	1616	Ṣaṭsandarbha: 1. Tattvasandarbha
SA_GR14_ss2_bhgu	anchor	64	1236	1540.0	1600.0	1567	1519	1613	Ṣaṭsandarbha: 2. Bhāgavatasandarbha
SA_MB_brhattantrasaaraHK	anchor	232	813	1550.0	1600.0	1568	1518	1617	kṛṣṇānanda āgamavāgiśa: brhattantrasāra
SA_MB_KulavrttiHK	anchor	155	974	1550.0	1600.0	1569	1520	1618	pūrṇānanda: kulavṛtti
SA_GSP31_vijsamsu	anchor	10	916	1500.0	1699.0	1569	1455	1682	Sāṅkhyasāra
SA_GR14_ss3_paru	anchor	40	1257	1550.0	1598.0	1570	1521	1618	Ṣaṭsandarbha: 3. Paramātmasandarbha
SA_GR14_ss4_krsu	anchor	74	1238	1550.0	1598.0	1570	1521	1617	Ṣaṭsandarbha: 4. Kṛṣṇasandarbha
SA_MB_Sritattvacintamanii_16-End_HK	anchor	76	913	1570.0	1585.0	1571	1523	1618	pūrṇānanda: tattvacintāmaṇi chapters 16 thru end
SA_MB_Sritattvacintamani_11-15_HK	anchor	60	1036	1577.0	1577.0	1571	1523	1619	pūrṇānanda: tattvacintāmaṇi chapters 11 thru 15
SA_MB_Sritattvacintamani_1-5_HK	anchor	45	1126	1577.0	1577.0	1573	1524	1622	pūrṇānanda: tattvacintāmaṇi chapters 01 thru 05
SA_GK19_gu01-03u	anchor	9	772	1560.0	1598.0	1573	1524	1622	Gopālacampū: Uttaracampū, 1-3
SA_GK19_gu05-06u	anchor	9	827	1560.0	1598.0	1573	1524	1622	Gopālacampū: Uttaracampū, 5-6
SA_GK19_gu29___u	anchor	5	828	1560.0	1598.0	1574	1526	1622	Gopālacampū: Uttaracampū, 29
SA_GSP29_antarkpu	anchor	3	890	1500.0	1699.0	1574	1455	1691	Tarkasaṃgraha
SA_MB_LingadhaaranachandrikaHK	anchor	44	1290	1500.0	1699.0	1575	1459	1695	nandikeśvara: liṅgadhāraṇacandrikā
SA_GSP29_antsdi_u	anchor	265	1308	1500.0	1699.0	1577	1461	1689	Tarkasaṃgraha
SA_GK19_jivskd_u	anchor	17	828	1570.0	1598.0	1577	1528	1626	Saṅkalpakalpadruma
SA_MB_pauskarvrttiHK	anchor	93	1018	1550.0	1620.0	1579	1530	1628	jñānaprakāśācārya: pauṣkaravṛtti
SA_GK19_ghatgu_u	anchor	9	960	1550.0	1620.0	1580	1531	1629	Gūḍhārthadīpikā
SA_MB_sivaagamaadimaahaatmyamHK	anchor	14	1232	1550.0	1620.0	1580	1533	1631	jñānaprakāśa - śālivāṭipuranivāsi: śivāgamādimāhātmya
SA_GSP31_tsc_bhau	anchor	7	1171	1550.0	1625.0	1583	1533	1631	Tattvayāthārthyadīpana
SA_MB_Tararahasyavrtti2HK	anchor	33	893	1500.0	1599.0	1584	1520	1646	brahmānanda: tārārahasyavṛtti 2
SA_GK21_karaka	anchor	92	32	1595.0	1605.0	1587	1537	1637	Kathāratnākara
SA_MB_ParaatrisikaavivrttiHK	anchor	4	931	1500.0	1800.0	1588	1421	1764	rājānakalakṣmirāma: parātriśikāvivṛti
SA_GR14_dhyrkk_u	anchor	4	884	1550.0	1650.0	1593	1534	1653	Rādhākṛṣṇāṣṭakālīyalīlāsmaraṇakramapaddhati
SA_GSP29_nyapra	anchor	14	965	1600.0	1650.0	1619	1573	1668	Nyāyaprakāśa
SA_GS24_varlghku	anchor	72	490	1600.0	1660.0	1620	1571	1669	Laghusiddhāntakaumudī [Laghukaumudī]
SA_T02_n3011u	anchor	68	571	1600.0	1660.0	1621	1572	1669	Laghukaumudīvyākaraṇa
SA_GR14_sadhdipu	anchor	61	1001	1600.0	1660.0	1623	1576	1669	Sādhanādīpikā
SA_GK19_jagsudhu	anchor	1	689	1590.0	1665.0	1624	1576	1673	Sudhālaharī
SA_GK19_nkalivpu	anchor	2	680	1600.0	1660.0	1625	1577	1674	Kaliviḍambana
SA_GSP28_jsbh2-3u	anchor	14	1207	1600.0	1665.0	1627	1578	1676	Bhāṭṭadīpikā: Adhyāya 2, Adhikaraṇa 3
SA_GSP28_jsbh2-2u	anchor	22	1211	1600.0	1665.0	1627	1578	1676	Bhāṭṭadīpikā: Adhyāya 2, Adhikaraṇa 2
SA_GSP28_jsbh3-2u	anchor	18	1193	1600.0	1665.0	1628	1579	1677	Bhāṭṭadīpikā: Adhyāya 3, Adhikaraṇa 2
SA_GSP28_jsbh3-1u	anchor	16	1212	1600.0	1665.0	1628	1581	1676	Bhāṭṭadīpikā: Adhyāya 3, Adhikaraṇa 1
SA_GSP28_jsbh1-3u	anchor	19	1264	1600.0	1665.0	1628	1579	1679	Bhāṭṭadīpikā: Adhyāya 1, Adhikaraṇa 3
SA_GSP28_jsbh2-1u	anchor	16	1273	1600.0	1665.0	1628	1579	1677	Bhāṭṭadīpikā: Adhyāya 2, Adhikaraṇa 1
SA_GSP28_jsbh2-4u	anchor	3	1244	1600.0	1665.0	1628	1579	1678	Bhāṭṭadīpikā: Adhyāya 2, Adhikaraṇa 4
SA_GSP28_jsbh1-2u	anchor	22	1211	1600.0	1665.0	1628	1579	1676	Bhāṭṭadīpikā: Adhyāya 1, Adhikaraṇa 2
SA_GSP28_jsbh1-1u	anchor	5	1112	1600.0	1665.0	1629	1579	1677	Bhāṭṭadīpikā: Adhyāya 1, Adhikaraṇa 1
SA_GSP28_jsbh1-4u	anchor	35	1243	1600.0	1665.0	1629	1579	1677	Bhāṭṭadīpikā: Adhyāya 1, Adhikaraṇa 4
SA_GK16_jgrasg1u	anchor	23	1100	1620.0	1665.0	1636	1587	1686	Rasagaṅgādhara
SA_MB_taaraabhaktisudhaarnavaHK	anchor	131	768	1600.0	1699.0	1637	1577	1694	narasiṃhaṭhakkura: tārābhaktisudhārṇava
SA_GSP34_ghers_pu	anchor	16	768	1600.0	1700.0	1639	1580	1697	Gheraṇḍa-Saṃhitā
SA_MB_devinamalavilasaHK	anchor	62	1091	1620.0	1680.0	1644	1596	1694	kaula sahiba: devīnāmavilāsa
SA_GSP29_muva	anchor	1	1001	1600.0	1700.0	1646	1587	1706	Muktivāda
SA_GSP35_sa_bhAskarakaNTha-mokSopAyaTIkA	anchor	274	1030	1600.0	1799.0	1659	1545	1775	Mokṣopāyaṭīkā
SA_MB_kulamuktikalloliniHK	anchor	217	784	1650.0	1703.0	1668	1618	1715	navamīsiṃha: kulamuktikallolinī
SA_GK19_japa	anchor	84	822	1650.0	1720.0	1677	1627	1726	Jānaki Pariṇaya
SA_MB_TantracintamaniHK	anchor	185	765	1680.0	1703.0	1683	1633	1732	navamīsiṃha: tantracintāmaṇi
SA_GS24_paribhsu	anchor	22	1247	1700.0	1750.0	1720	1673	1769	Paribhāṣenduśekhara
SA_MB_varivasyaarahasyaHK	anchor	24	1267	1720.0	1760.0	1735	1685	1783	bhaskarāya: varivasyārahasya
SA_MB_MahaayaagakramaHK	anchor	18	1146	1700.0	1785.0	1736	1686	1787	bhaskararaya: mahāyāgakrama
SA_MB_gurustutiratnavaliHK	anchor	2	886	1700.0	1799.0	1743	1683	1801	govindakaula: gurustutiratnāvalī
SA_GSP33_nabodhsu	anchor	30	907	1725.0	1800.0	1754	1707	1803	Bodhasāra
SA_MB_Pranatosini_4_KamyaKandaHK	anchor	61	749	1820.0	1821.0	1811	1762	1859	rāmatoṣaṇa compiler: prāṇatoṣiṇī kamyakāṇḍa
SA_MB_pranotisini_6_HK	anchor	114	811	1820.0	1821.0	1811	1761	1860	rāmatoṣaṇa compiler: prāṇatoṣiṇī part 6
SA_MB_Pranatosini_2_DharmaKandaHK	anchor	48	793	1820.0	1821.0	1812	1761	1859	rāmatoṣaṇa compiler: prāṇatoṣiṇī dharmakāṇḍa
SA_MB_Pranatosini_5_BhaktiKandaHK	anchor	27	813	1820.0	1821.0	1812	1763	1861	rāmatoṣaṇa compiler: prāṇatoṣiṇī bhaktikāṇḍa
SA_MB_Pranatosini_3_ArthaKandaHK	anchor	50	846	1820.0	1821.0	1812	1762	1860	rāmatoṣaṇa compiler: prāṇatoṣiṇī arthakāṇḍa
SA_MB_Pranatosini_1_SargaKandaHK	anchor	50	1000	1820.0	1821.0	1813	1764	1862	rāmatoṣaṇa compiler: prāṇatoṣiṇī sargakāṇḍa
SA_MB_sriitatvanidhiHK	anchor	112	761	1800.0	1868.0	1825	1776	1873	kṛṣṇarāja vodeyar: śrītattvanidhiḥ
SA_MB_saaktapramodaHK	anchor	152	760	1800.0	1899.0	1835	1778	1893	devanandanasiṃha: śāktapramoda
SA_GR14_kbss_1-u	anchor	30	1078	1820.0	1880.0	1843	1794	1892	Bhāvanāsārasaṃgraha
